Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
North,Uttar Pradesh,0,Sep,Q3,14669.0,14656.0,13.0
North,Uttarakhand,0,Sep,Q3,1392.0,1381.0,11.0
Central,Chhattisgarh,0,Sep,Q3,3408.0,3397.0,11.0
West,Gujarat,0,Sep,Q3,12931.0,12907.0,24.0
Central,Madhya Pradesh,0,Sep,Q3,7699.0,7664.0,35.0
West,Maharashtra,0,Sep,Q3,15841.0,15819.0,22.0
West,Dadra & Nagar Haveli and Daman & Diu,1,Sep,Q3,792.0,792.0,0.0
West,Goa,0,Sep,Q3,412.0,412.0,0.0
South,Andhra Pradesh,0,Sep,Q3,6559.0,6559.0,0.0
South,Telangana,0,Sep,Q3,6725.0,6725.0,0.0
South,Karnataka,0,Sep,Q3,7008.0,7002.0,6.0
South,Kerala,0,Sep,Q3,2363.0,2363.0,0.0
South,Tamil Nadu,0,Sep,Q3,10245.0,10245.0,0.0
South,Puducherry,1,Sep,Q3,291.0,291.0,0.0
South,Lakshadweep,1,Sep,Q3,5.0,5.0,0.0
East,Bihar,0,Sep,Q3,4262.0,4167.0,95.0
East,Jharkhand,0,Sep,Q3,1232.0,1190.0,42.0
East,Odisha,0,Sep,Q3,3635.0,3634.0,1.0
East,West Bengal,0,Sep,Q3,6453.0,6446.0,7.0
Northeast,Sikkim,0,Sep,Q3,38.0,38.0,0.0
South,Andaman Nicobar,1,Sep,Q3,29.0,28.0,1.0
Northeast,Arunachal Pradesh,0,Sep,Q3,89.0,89.0,0.0
Northeast,Assam,0,Sep,Q3,1368.0,1333.0,35.0
Northeast,Manipur,0,Sep,Q3,79.0,79.0,0.0
Northeast,Meghalaya,0,Sep,Q3,165.0,157.0,8.0
Northeast,Mizoram,0,Sep,Q3,49.0,49.0,0.0
Northeast,Nagaland,0,Sep,Q3,86.0,86.0,0.0
Northeast,Tripura,0,Sep,Q3,173.0,173.0,0.0
North,Chandigarh,1,Oct,Q4,127.0,127.0,0.0
North,Delhi,1,Oct,Q4,2860.0,2859.0,1.0
North,Haryana,0,Oct,Q4,5356.0,5324.0,32.0
North,Himachal Pradesh,0,Oct,Q4,1156.0,1152.0,4.0
North,UTs of J&K and Ladakh,1,Oct,Q4,1540.0,1504.0,36.0
North,Punjab,0,Oct,Q4,5259.0,5259.0,0.0
North,Rajasthan,0,Oct,Q4,9166.0,9110.0,56.0
